
INSERT INTO `#__wj_portal_cities` ( `name`, `localname`, `internationalname`, `stateid`, `countryid`, `isedit`, `enabled`, `serverid`, `latitude`, `longitude`) VALUES 
("شهر بیرجند", "شهر بیرجند", "Birjand", NULL, 108, 0, 1, NULL, "32.8633961", "59.2177294"),
("کرمانشاه", "کرمانشاه", "Kermanshah", NULL, 108, 0, 1, NULL, "34.3239414", "47.0735891"),
("شهر سنندج", "شهر سنندج", "Sanandaj", NULL, 108, 0, 1, NULL, "35.3126047", "46.9978639"),
("شهر همدان", "شهر همدان", "Hamedan", NULL, 108, 0, 1, NULL, "34.7992888", "48.5152464"),
("شهر اراک", "شهر اراک", "Arak", NULL, 108, 0, 1, NULL, "34.0862719", "49.6893884"),
("ساوه", "ساوه", "Saveh", NULL, 108, 0, 1, NULL, "35.0206133", "50.3584834"),
("شهر قزوین", "شهر قزوین", "Qazvin", NULL, 108, 0, 1, NULL, "36.2804074", "50.006663"),
("شهر ارومیه", "شهر ارومیه", "Urmia", NULL, 108, 0, 1, NULL, "37.548341", "45.0667111"),
("میانه", "میانه", "Mianeh", NULL, 108, 0, 1, NULL, "37.4284148", "47.7058119"),
("زنجان", "زنجان", "Zanjan", NULL, 108, 0, 1, NULL, "36.6763063", "48.5089736"),
("شهر رشت", "شهر رشت", "Rasht", NULL, 108, 0, 1, NULL, "37.2793607", "49.5846102"),
("شهر بندر انزلی", "شهر بندر انزلی", "Bandar-e Anzali", NULL, 108, 0, 1, NULL, "37.4716356", "49.4685904"),
("اردبیل", "اردبیل", "Ardabil", NULL, 108, 0, 1, NULL, "38.2515581", "48.2972269"),
("پرند", "پرند", "Parand", NULL, 108, 0, 1, NULL, "35.477882", "50.9469189"),
("شهر قم", "شهر قم", "Qom", NULL, 108, 0, 1, NULL, "34.6422939", "50.8801184"),
("صفادشت", "صفادشت", "Safadasht", NULL, 108, 0, 1, NULL, "35.692438", "50.8482841"),
("کرج", "کرج", "Karaj", NULL, 108, 0, 1, NULL, "35.8224892", "50.9904681"),
("اسلامشهر", "اسلامشهر", "Eslamshahr", NULL, 108, 0, 1, NULL, "35.5478513", "51.2318676"),
("شهریار", "شهریار", "Shahriyar", NULL, 108, 0, 1, NULL, "35.6589015", "51.0586022"),
("اندیشه", "اندیشه", "Andishe", NULL, 108, 0, 1, NULL, "35.7052413", "51.0296232"),
("شهر قدس", "شهر قدس", "Qods", NULL, 108, 0, 1, NULL, "35.7204271", "51.1100769"),
("تجریش", "تجریش", "Tajrish", NULL, 108, 0, 1, NULL, "35.804937", "51.4409634"),
("شهر تهران", "شهر تهران", "Tehran", NULL, 108, 0, 1, NULL, "35.6892523", "51.3896004"),
("کوهسار", "کوهسار", "Kuhsar", NULL, 108, 0, 1, NULL, "35.9627157", "50.7920955"),
("مهستان", "مهستان", "Mehestan", NULL, 108, 0, 1, NULL, "35.9953399", "50.7267844"),
("هشتگرد", "هشتگرد", "Hashtgerd", NULL, 108, 0, 1, NULL, "35.9641824", "50.6858036"),
("شهر آمل", "شهر آمل", "Amol", NULL, 108, 0, 1, NULL, "36.4718947", "52.3499009"),
("شهر بابل", "شهر بابل", "Babol", NULL, 108, 0, 1, NULL, "36.5452581", "52.6846571"),
("شهر قائمشهر", "شهر قائمشهر", "Qaem Shahr", NULL, 108, 0, 1, NULL, "36.4636399", "52.8579311"),
("شهر ساری", "شهر ساری", "Sari", NULL, 108, 0, 1, NULL, "36.5659626", "53.0586327"),
("شهر گرگان", "شهر گرگان", "Gorgan", NULL, 108, 0, 1, NULL, "36.8392776", "54.4320858"),
("شهر سبزوار", "شهر سبزوار", "Sabzevar", NULL, 108, 0, 1, NULL, "36.2134053", "57.6808799"),
("شهر نیشابور", "شهر نیشابور", "Neyshabur City", NULL, 108, 0, 1, NULL, "36.2105604", "58.7922291"),
("شهر مشهد", "شهر مشهد", "Mashhad", NULL, 108, 0, 1, NULL, "36.2974945", "59.6059232"),
("شهر بجنورد", "شهر بجنورد", "Bojnord", NULL, 108, 0, 1, NULL, "37.4759752", "57.3319881"),
("خوی", "خوی", "Khoy", NULL, 108, 0, 1, NULL, "38.5504343", "44.95354"),
("آبادان", "آبادان", "Abadan", NULL, 108, 0, 1, NULL, "30.3636097", "48.2591475"),
("ایلام", "ایلام", "Ilam", NULL, 108, 0, 1, NULL, "33.6379365", "46.4202743"),
("اهواز", "اهواز", "Ahwaz", NULL, 108, 0, 1, NULL, "31.3230637", "48.67932"),
("دزفول", "دزفول", "Dezful", NULL, 108, 0, 1, NULL, "32.3780257", "48.4032064"),
("اندیمشک", "اندیمشک", "Andimeshk", NULL, 108, 0, 1, NULL, "32.458325", "48.3521137"),
("خرم آباد", "خرم آباد", "Khorramabad", NULL, 108, 0, 1, NULL, "33.4842109", "48.3538276"),
("بوشهر", "بوشهر", "Bushehr", NULL, 108, 0, 1, NULL, "28.9310786", "50.8458443"),
("یاسوج", "یاسوج", "Yasuj", NULL, 108, 0, 1, NULL, "30.6681785", "51.581916"),
("شیراز", "شیراز", "Shiraz", NULL, 108, 0, 1, NULL, "29.6060218", "52.5378041"),
("سیرجان", "سیرجان", "Sirjan", NULL, 108, 0, 1, NULL, "29.4458687", "55.6704717"),
("رفسنجان", "رفسنجان", "Rafsanjan", NULL, 108, 0, 1, NULL, "30.402184", "55.9941776"),
("شهرکرد", "شهرکرد", "Shahr-e Kord", NULL, 108, 0, 1, NULL, "32.3257366", "50.8497369"),
("نجف‌آباد", "نجف‌آباد", "Najafabad", NULL, 108, 0, 1, NULL, "32.6350743", "51.3636804"),
("اصفهان", "اصفهان", "Isfahan", NULL, 108, 0, 1, NULL, "32.6707877", "51.6650002"),
("یزد", "یزد", "Yazd", NULL, 108, 0, 1, NULL, "31.8882678", "54.3642391"),
("چابهار", "چابهار", "Chabahar", NULL, 108, 0, 1, NULL, "25.2935488", "60.6469115"),
("بندرعباس", "بندرعباس", "Bandar Abbas", NULL, 108, 0, 1, NULL, "27.1793466", "56.2781423"),
("ایرانشهر", "ایرانشهر", "Iranshahr", NULL, 108, 0, 1, NULL, "27.2069903", "60.6882515"),
("بم", "بم", "Bam", NULL, 108, 0, 1, NULL, "29.1059864", "58.3565663"),
("کرمان", "کرمان", "Kerman", NULL, 108, 0, 1, NULL, "30.2924085", "57.0645647"),
("زاهدان", "زاهدان", "Zahedan", NULL, 108, 0, 1, NULL, "29.4928874", "60.8503017"),
("زابل", "زابل", "Zabol", NULL, 108, 0, 1, NULL, "31.0277779", "61.4948211"),
("بیرجند", "بیرجند", "Birjand", NULL, 108, 0, 1, NULL, "32.8633961", "59.2177294"),
("کرمانشاه", "کرمانشاه", "Kermanshah", NULL, 108, 0, 1, NULL, "34.3239414", "47.0735891"),
("سنندج", "سنندج", "Sanandaj", NULL, 108, 0, 1, NULL, "35.3126047", "46.9978639"),
("ملایر", "ملایر", "Malayer", NULL, 108, 0, 1, NULL, "34.2922623", "48.8215749"),
("همدان", "همدان", "Hamedan", NULL, 108, 0, 1, NULL, "34.7992888", "48.5152464"),
("اراک", "اراک", "Arak", NULL, 108, 0, 1, NULL, "34.0862719", "49.6893884"),
("ساوه", "ساوه", "Saveh", NULL, 108, 0, 1, NULL, "35.0206133", "50.3584834"),
("نظرآباد", "نظرآباد", "Nazarabad", NULL, 108, 0, 1, NULL, "35.9558897", "50.6097443"),
("قزوین", "قزوین", "Qazvin", NULL, 108, 0, 1, NULL, "36.2804074", "50.006663"),
("ارومیه", "ارومیه", "Urmia", NULL, 108, 0, 1, NULL, "37.548341", "45.0667111"),
("تبریز", "تبریز", "Tabriz", NULL, 108, 0, 1, NULL, "38.0738612", "46.2978789"),
("زنجان", "زنجان", "Zanjan", NULL, 108, 0, 1, NULL, "36.6763063", "48.5089736"),
("بندر انزلی", "بندر انزلی", "Bandar-e Anzali", NULL, 108, 0, 1, NULL, "37.4716356", "49.4685904"),
("رشت", "رشت", "Rasht", NULL, 108, 0, 1, NULL, "37.2793607", "49.5846102"),
("اردبیل", "اردبیل", "Ardabil", NULL, 108, 0, 1, NULL, "38.2515581", "48.2972269"),
("کاشان", "کاشان", "Kashan", NULL, 108, 0, 1, NULL, "33.9876533", "51.4428856"),
("قم", "قم", "Qom", NULL, 108, 0, 1, NULL, "34.6422939", "50.8801184"),
("پرند", "پرند", "Parand", NULL, 108, 0, 1, NULL, "35.477882", "50.9469189"),
("صفادشت", "صفادشت", "Safadasht", NULL, 108, 0, 1, NULL, "35.692438", "50.8482841"),
("شهریار", "شهریار", "Shahriyar", NULL, 108, 0, 1, NULL, "35.6589015", "51.0586022"),
("اسلامشهر", "اسلامشهر", "Eslamshahr", NULL, 108, 0, 1, NULL, "35.5478513", "51.2318676"),
("اندیشه", "اندیشه", "Andishe", NULL, 108, 0, 1, NULL, "35.7052413", "51.0296232"),
("شهرقدس", "شهرقدس", "Qods", NULL, 108, 0, 1, NULL, "35.7204271", "51.1100769"),
("کرج", "کرج", "Karaj", NULL, 108, 0, 1, NULL, "35.8224892", "50.9904681"),
("تهران", "تهران", "Tehran", NULL, 108, 0, 1, NULL, "35.6892523", "51.3896004"),
("هشتگرد", "هشتگرد", "Hashtgerd", NULL, 108, 0, 1, NULL, "35.9641824", "50.6858036"),
("کوهسار", "کوهسار", "Kuhsar", NULL, 108, 0, 1, NULL, "35.9627157", "50.7920955"),
("مهستان", "مهستان", "Mehestan", NULL, 108, 0, 1, NULL, "35.9953399", "50.7267844"),
("سمنان", "سمنان", "Semnan", NULL, 108, 0, 1, NULL, "35.5834074", "53.3882906"),
("آمل", "آمل", "Amol", NULL, 108, 0, 1, NULL, "36.4718947", "52.3499009"),
("بابل", "بابل", "Babol", NULL, 108, 0, 1, NULL, "36.5452581", "52.6846571"),
("قائمشهر", "قائمشهر", "Qaem Shahr", NULL, 108, 0, 1, NULL, "36.4636399", "52.8579311"),
("شاهرود", "شاهرود", "Shahrud", NULL, 108, 0, 1, NULL, "36.4195026", "54.9649915"),
("ساری", "ساری", "Sari", NULL, 108, 0, 1, NULL, "36.5659626", "53.0586327"),
("گرگان", "گرگان", "Gorgan", NULL, 108, 0, 1, NULL, "36.8392776", "54.4320858"),
("پارس آباد", "پارس آباد", "Parsabad", NULL, 108, 0, 1, NULL, "39.6461735", "47.918551"),
("سبزوار", "سبزوار", "Sabzevar", NULL, 108, 0, 1, NULL, "36.2134053", "57.6808799"),
("نیشابور", "نیشابور", "Neyshabur", NULL, 108, 0, 1, NULL, "36.2105604", "58.7922291"),
("مشهد", "مشهد", "Mashhad", NULL, 108, 0, 1, NULL, "36.2974945", "59.6059232"),
("بجنورد", "بجنورد", "Bojnurd", NULL, 108, 0, 1, NULL, "37.4759752", "57.3319881");
